date,t_max,t_min,precip,source
,-6.4,-14.7,0.0,eccc
,-5.4,-14.1,0.0,eccc
,-6.1,-10.6,0.1,eccc
,-0.7,-10.1,0.1,eccc
,0.8,-12.1,4.7,eccc
,-11.7,-23.0,0.0,eccc
,-12.9,-32.1,1.6,eccc
,-13.5,-24.8,0.4,eccc
,-12.8,-30.7,0.1,eccc
,-6.7,-23.0,0.4,eccc
,-9.6,-28.9,0.0,eccc
,-5.1,-20.3,1.1,eccc
,-3.8,-7.9,0.3,eccc
,-0.1,-11.2,7.1,eccc
,-11.2,-20.9,5.3,eccc
,-9.8,-22.6,2.1,eccc
,-4.6,-26.7,1.1,eccc
,-4.1,-17.1,0.0,eccc
,-7.2,-18.9,17.5,eccc
,-6.5,-21.2,0.0,eccc
,-5.8,-15.2,6.3,eccc
,-10.4,-16.8,18.6,eccc
,-11.3,-20.2,0.0,eccc
,-14.4,-23.1,0.0,eccc
,-9.4,-24.1,0.0,eccc
,-8.6,-27.2,0.0,eccc
,-8.4,-20.8,0.0,eccc
,-4.3,-19.0,0.2,eccc
,-2.0,-5.4,0.3,eccc
,2.3,-3.2,1.6,eccc
,5.0,-1.8,0.8,eccc
,3.2,-10.1,0.2,eccc
,6.2,-11.2,0.5,eccc
,-5.6,-15.7,6.9,eccc
,8.6,-15.4,0.0,eccc
,13.7,-10.7,0.3,eccc
,13.9,-2.1,2.3,eccc
,13.0,-1.8,19.1,eccc
,2.0,-8.7,0.0,eccc
,9.6,-6.3,0.0,eccc
,18.7,-2.4,0.0,eccc
,9.5,-6.6,8.2,eccc
,4.8,-11.0,0.0,eccc
,1.1,-14.9,2.7,eccc
,0.1,-18.2,0.0,eccc
,1.7,-6.1,9.1,eccc
,-0.2,-7.1,0.1,eccc
,0.5,-14.3,0.0,eccc
,5.4,-17.8,0.2,eccc
,-1.7,-10.9,19.3,eccc
,-1.2,-6.1,10.9,eccc
,0.4,-4.0,16.4,eccc
,4.2,-3.8,3.3,eccc
,14.1,-5.3,0.4,eccc
,13.8,-4.3,0.3,eccc
,4.8,-2.6,1.2,eccc
,2.2,-5.8,0.0,eccc
,10.4,-9.2,0.0,eccc
,13.7,-4.7,2.1,eccc
,13.3,-0.5,7.1,eccc
,9.1,-2.8,0.0,eccc
,7.1,-3.4,8.4,eccc
,6.2,-2.5,0.0,eccc
,14.5,-4.2,0.0,eccc
,19.4,-1.7,3.3,eccc
,12.6,4.3,0.6,eccc
,5.9,0.6,27.1,eccc
,16.1,-2.1,0.3,eccc
,20.8,-2.6,0.0,eccc
,26.7,-0.6,1.8,eccc
,12.0,-3.4,0.0,eccc
,28.8,4.9,0.0,eccc
,20.6,13.2,0.3,eccc
,20.6,9.4,1.3,eccc
,25.7,7.4,3.8,eccc
,19.5,7.3,34.3,eccc
,11.6,3.0,1.1,eccc
,9.8,0.2,0.0,eccc
,16.5,-0.2,0.0,eccc
,11.0,7.0,1.1,eccc
,9.0,6.2,12.8,eccc
,9.3,5.5,7.9,eccc
,11.4,4.9,5.1,eccc
,17.0,3.1,6.8,eccc
,21.7,1.9,0.0,eccc
,24.9,1.6,0.0,eccc
,,,,eccc
,,,,eccc
,23.2,6.5,6.3,eccc
,10.7,4.1,0.2,eccc
,17.3,3.5,0.0,eccc
,20.2,3.8,0.0,eccc
,24.3,3.2,0.0,eccc
,26.2,4.6,0.0,eccc
,27.2,10.0,0.4,eccc
,24.4,16.9,0.0,eccc
,19.6,12.1,39.6,eccc
,21.8,9.3,0.0,eccc
,25.2,8.4,55.4,eccc
,30.5,19.8,0.0,eccc
,32.7,18.1,0.0,eccc
,31.7,17.7,0.0,eccc
,26.6,15.2,0.0,eccc
,16.5,12.0,2.0,eccc
,20.2,12.8,32.4,eccc
,21.5,14.7,0.8,eccc
,27.2,12.0,0.0,eccc
,29.9,12.3,1.4,eccc
,29.8,14.7,1.8,eccc
